ticker,year,quarter,fiscal_period,total_blocks,total_words,candidate_blocks,ai_related_blocks,ai_adoption_related_blocks,ai_innovation_related_blocks,ai_adoption_score_sum,ai_innovation_score_sum,ai_adoption_score_mean_candidates,ai_innovation_score_mean_candidates,high_adoption_ai_related_blocks,high_innovation_ai_related_blocks,measurable_impact_adoption_blocks,measurable_impact_innovation_blocks,product_innovation_blocks,process_innovation_blocks,technology_innovation_blocks,ai_adoption_score_mean_ai_related,ai_innovation_score_mean_ai_related,share_candidate_blocks,share_ai_related_blocks,ai_adoption_score_sum_norm_blocks,ai_adoption_score_sum_norm_words,share_ai_adoption_related_blocks,share_high_adoption_blocks,share_measurable_impact_adoption_blocks,ai_innovation_score_sum_norm_blocks,ai_innovation_score_sum_norm_words,share_ai_innovation_related_blocks,share_high_innovation_blocks,share_measurable_impact_innovation_blocks,share_product_innovation_blocks,share_process_innovation_blocks,share_technology_innovation_blocks,sum_adjusted_score,ai_adoption_score_mean,ai_related_candidate_blocks,high_adoption_candidate_blocks,measurable_impact_candidate_blocks
XRX,2024,1,2024Q1,13,6668,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2024,2,2024Q2,13,8192,2,2.0,2.0,0.0,9.48,0.0,4.74,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.74,0.0,0.1538461538461538,0.1538461538461538,0.7292307692307692,1.1572265625,0.1538461538461538,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,4.74,2.0,2.0,2.0
XRX,2024,3,2024Q3,12,8080,4,3.0,3.0,0.0,15.63,0.0,3.9075,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.3333333333333333,0.25,1.3025,1.9344059405940597,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,5.21,3.0,3.0,0.0
XRX,2024,4,2024Q4,9,6183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2025,1,2025Q1,10,7027,3,2.0,2.0,0.0,9.48,0.0,3.16,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.74,0.0,0.3,0.2,0.948,1.3490821118542764,0.2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,4.74,2.0,2.0,1.0
XRX,2025,2,2025Q2,11,6743,2,1.0,1.0,0.0,4.74,0.0,2.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.1818181818181818,0.0909090909090909,0.4309090909090909,0.7029512086608335,0.0909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,4.74,1.0,1.0,0.0
XRX,2025,3,2025Q3,12,7738,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRX,2025,4,2025Q4,10,6788,2,2.0,2.0,0.0,9.48,0.0,4.74,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.74,0.0,0.2,0.2,0.948,1.3965822038892162,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,4.74,2.0,2.0,2.0
BDX,2024,1,2024Q1,17,8473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDX,2024,2,2024Q2,11,5678,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
