ticker,year,quarter,fiscal_period,total_blocks,total_words,candidate_blocks,ai_related_blocks,ai_adoption_related_blocks,ai_innovation_related_blocks,ai_adoption_score_sum,ai_innovation_score_sum,ai_adoption_score_mean_candidates,ai_innovation_score_mean_candidates,high_adoption_ai_related_blocks,high_innovation_ai_related_blocks,measurable_impact_adoption_blocks,measurable_impact_innovation_blocks,product_innovation_blocks,process_innovation_blocks,technology_innovation_blocks,ai_adoption_score_mean_ai_related,ai_innovation_score_mean_ai_related,share_candidate_blocks,share_ai_related_blocks,ai_adoption_score_sum_norm_blocks,ai_adoption_score_sum_norm_words,share_ai_adoption_related_blocks,share_high_adoption_blocks,share_measurable_impact_adoption_blocks,ai_innovation_score_sum_norm_blocks,ai_innovation_score_sum_norm_words,share_ai_innovation_related_blocks,share_high_innovation_blocks,share_measurable_impact_innovation_blocks,share_product_innovation_blocks,share_process_innovation_blocks,share_technology_innovation_blocks,sum_adjusted_score,ai_adoption_score_mean,ai_related_candidate_blocks,high_adoption_candidate_blocks,measurable_impact_candidate_blocks
U,2020,4,2020Q4,23,10564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,2021,1,2021Q1,10,10262,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,2021,2,2021Q2,15,9627,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,2021,3,2021Q3,16,9905,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,2021,4,2021Q4,15,9668,4,3.0,3.0,2.0,11.21,10.9,2.8025,2.725,3.0,2.0,2.0,2.0,0.0,1.0,1.0,3.736666666666667,5.45,0.2666666666666666,0.2,0.7473333333333334,1.1594952420355815,0.2,1.0,0.6666666666666666,0.7266666666666667,1.1274306992139016,0.1333333333333333,1.0,1.0,0.0,0.5,0.5,11.21,3.736666666666667,3.0,3.0,2.0
U,2022,1,2022Q1,21,9229,2,2.0,2.0,1.0,9.9,6.54,4.949999999999999,3.27,2.0,1.0,1.0,0.0,1.0,0.0,0.0,4.949999999999999,6.54,0.0952380952380952,0.0952380952380952,0.4714285714285713,1.072705601907032,0.0952380952380952,1.0,0.5,0.3114285714285714,0.7086358218658576,0.0476190476190476,1.0,0.0,1.0,0.0,0.0,9.9,4.949999999999999,2.0,2.0,1.0
U,2022,2,2022Q2,17,9383,4,3.0,3.0,0.0,11.85,0.0,2.9625000000000004,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.9500000000000006,0.0,0.2352941176470588,0.1764705882352941,0.6970588235294118,1.2629223062986252,0.1764705882352941,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,3.9500000000000006,3.0,3.0,2.0
U,2022,3,2022Q3,15,9005,6,3.0,3.0,2.0,14.279999999999998,12.54,2.379999999999999,2.09,3.0,2.0,2.0,1.0,0.0,0.0,2.0,4.759999999999999,6.27,0.4,0.2,0.9519999999999998,1.585785674625208,0.2,1.0,0.6666666666666666,0.836,1.3925596890616323,0.1333333333333333,1.0,0.5,0.0,0.0,1.0,14.279999999999998,4.759999999999999,3.0,3.0,2.0
U,2022,4,2022Q4,26,9520,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,2023,1,2023Q1,31,8109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
