firm_name,ticker,quarter,quarter_str,total_patents,ai_patents,ai_share
"8x8, Inc.",EGHT,2016Q1,2016Q1,4,1,0.25
"8x8, Inc.",EGHT,2016Q2,2016Q2,2,1,0.5
"8x8, Inc.",EGHT,2016Q3,2016Q3,3,2,0.6666666666666666
"8x8, Inc.",EGHT,2016Q4,2016Q4,2,0,0.0
"8x8, Inc.",EGHT,2017Q1,2017Q1,3,1,0.3333333333333333
"8x8, Inc.",EGHT,2017Q2,2017Q2,5,1,0.2
"8x8, Inc.",EGHT,2017Q3,2017Q3,3,3,1.0
"8x8, Inc.",EGHT,2017Q4,2017Q4,4,1,0.25
"8x8, Inc.",EGHT,2018Q1,2018Q1,4,1,0.25
"8x8, Inc.",EGHT,2018Q2,2018Q2,8,4,0.5
"8x8, Inc.",EGHT,2018Q3,2018Q3,6,3,0.5
"8x8, Inc.",EGHT,2018Q4,2018Q4,4,2,0.5
"8x8, Inc.",EGHT,2019Q1,2019Q1,5,2,0.4
"8x8, Inc.",EGHT,2019Q2,2019Q2,8,2,0.25
"8x8, Inc.",EGHT,2019Q3,2019Q3,9,5,0.5555555555555556
"8x8, Inc.",EGHT,2019Q4,2019Q4,6,2,0.3333333333333333
"8x8, Inc.",EGHT,2020Q1,2020Q1,12,6,0.5
"8x8, Inc.",EGHT,2020Q2,2020Q2,9,5,0.5555555555555556
"8x8, Inc.",EGHT,2020Q3,2020Q3,8,5,0.625
"8x8, Inc.",EGHT,2020Q4,2020Q4,14,9,0.6428571428571429
"8x8, Inc.",EGHT,2021Q1,2021Q1,15,6,0.4
"8x8, Inc.",EGHT,2021Q2,2021Q2,13,9,0.6923076923076923
"8x8, Inc.",EGHT,2021Q3,2021Q3,14,9,0.6428571428571429
"8x8, Inc.",EGHT,2021Q4,2021Q4,10,5,0.5
"8x8, Inc.",EGHT,2022Q1,2022Q1,3,1,0.3333333333333333
"8x8, Inc.",EGHT,2022Q2,2022Q2,7,4,0.5714285714285714
"8x8, Inc.",EGHT,2022Q3,2022Q3,14,9,0.6428571428571429
"8x8, Inc.",EGHT,2022Q4,2022Q4,11,6,0.5454545454545454
"8x8, Inc.",EGHT,2023Q1,2023Q1,15,10,0.6666666666666666
"8x8, Inc.",EGHT,2023Q2,2023Q2,11,8,0.7272727272727273
"8x8, Inc.",EGHT,2023Q3,2023Q3,9,4,0.4444444444444444
"8x8, Inc.",EGHT,2023Q4,2023Q4,21,13,0.6190476190476191
"A9.com, Inc.",AMZN,2016Q1,2016Q1,17,16,0.9411764705882353
"A9.com, Inc.",AMZN,2016Q2,2016Q2,8,6,0.75
"A9.com, Inc.",AMZN,2016Q3,2016Q3,11,9,0.8181818181818182
