companyname,ticker,gvkey,datadate,calendar_q,revenue,netincome,rnd,capex,leverage,industry
AGILENT TECHNOLOGIES INC,A,126554,2016-01-31,2016Q1,1028000000.0,123000000.0,78000000.0,38000000.0,1.8038537549407114,35
AGILENT TECHNOLOGIES INC,A,126554,2016-04-30,2016Q2,1019000000.0,91000000.0,81000000.0,63000000.0,1.8343337334933973,35
AGILENT TECHNOLOGIES INC,A,126554,2016-07-31,2016Q3,1044000000.0,122000000.0,86000000.0,87000000.0,1.7795674183156927,35
AGILENT TECHNOLOGIES INC,A,126554,2016-10-31,2016Q4,1111000000.0,126000000.0,84000000.0,139000000.0,1.837494112105511,35
AGILENT TECHNOLOGIES INC,A,126554,2017-01-31,2017Q1,1067000000.0,168000000.0,79000000.0,32000000.0,1.8306976744186048,35
AGILENT TECHNOLOGIES INC,A,126554,2017-04-30,2017Q2,1102000000.0,164000000.0,84000000.0,75000000.0,1.8322285714285713,35
AGILENT TECHNOLOGIES INC,A,126554,2017-07-31,2017Q3,1114000000.0,175000000.0,87000000.0,118000000.0,1.7915853394057688,35
AGILENT TECHNOLOGIES INC,A,126554,2017-10-31,2017Q4,1189000000.0,177000000.0,89000000.0,176000000.0,1.742709410548087,35
AGILENT TECHNOLOGIES INC,A,126554,2018-01-31,2018Q1,1211000000.0,-320000000.0,94000000.0,60000000.0,1.9217852408307556,35
AGILENT TECHNOLOGIES INC,A,126554,2018-04-30,2018Q2,1206000000.0,205000000.0,92000000.0,108000000.0,1.9025341130604287,35
AGILENT TECHNOLOGIES INC,A,126554,2018-07-31,2018Q3,1203000000.0,236000000.0,97000000.0,141000000.0,1.8277145359019265,35
AGILENT TECHNOLOGIES INC,A,126554,2018-10-31,2018Q4,1294000000.0,195000000.0,104000000.0,177000000.0,1.868518923649092,35
AGILENT TECHNOLOGIES INC,A,126554,2019-01-31,2019Q1,1284000000.0,504000000.0,102000000.0,39000000.0,1.777601270849881,35
AGILENT TECHNOLOGIES INC,A,126554,2019-04-30,2019Q2,1238000000.0,182000000.0,99000000.0,78000000.0,1.760390243902439,35
AGILENT TECHNOLOGIES INC,A,126554,2019-07-31,2019Q3,1274000000.0,191000000.0,101000000.0,125000000.0,1.8169370128502211,35
AGILENT TECHNOLOGIES INC,A,126554,2019-10-31,2019Q4,1367000000.0,194000000.0,102000000.0,155000000.0,1.9907329401853413,35
AGILENT TECHNOLOGIES INC,A,126554,2020-01-31,2020Q1,1357000000.0,197000000.0,104000000.0,34000000.0,1.9597772277227723,35
AGILENT TECHNOLOGIES INC,A,126554,2020-04-30,2020Q2,1238000000.0,101000000.0,197000000.0,67000000.0,1.983011744966443,35
AGILENT TECHNOLOGIES INC,A,126554,2020-07-31,2020Q3,1261000000.0,199000000.0,92000000.0,92000000.0,1.9164826340092351,35
AGILENT TECHNOLOGIES INC,A,126554,2020-10-31,2020Q4,1483000000.0,222000000.0,102000000.0,119000000.0,1.975579725015391,35
AGILENT TECHNOLOGIES INC,A,126554,2021-01-31,2021Q1,1548000000.0,288000000.0,103000000.0,41000000.0,2.0137385512073274,35
AGILENT TECHNOLOGIES INC,A,126554,2021-04-30,2021Q2,1525000000.0,216000000.0,109000000.0,72000000.0,2.1617463617463617,35
AGILENT TECHNOLOGIES INC,A,126554,2021-07-31,2021Q3,1586000000.0,264000000.0,113000000.0,126000000.0,2.121107966033158,35
AGILENT TECHNOLOGIES INC,A,126554,2021-10-31,2021Q4,1660000000.0,442000000.0,116000000.0,188000000.0,1.9864538875487103,35
AGILENT TECHNOLOGIES INC,A,126554,2022-01-31,2022Q1,1674000000.0,283000000.0,117000000.0,75000000.0,2.003686457120683,35
AGILENT TECHNOLOGIES INC,A,126554,2022-04-30,2022Q2,1607000000.0,274000000.0,115000000.0,139000000.0,2.0411948457633735,35
AGILENT TECHNOLOGIES INC,A,126554,2022-07-31,2022Q3,1718000000.0,329000000.0,116000000.0,221000000.0,2.05932036927912,35
AGILENT TECHNOLOGIES INC,A,126554,2022-10-31,2022Q4,1849000000.0,368000000.0,119000000.0,291000000.0,1.985296889726673,35
AGILENT TECHNOLOGIES INC,A,126554,2023-01-31,2023Q1,1756000000.0,352000000.0,123000000.0,76000000.0,1.9466928151185594,35
AGILENT TECHNOLOGIES INC,A,126554,2023-04-30,2023Q2,1717000000.0,302000000.0,126000000.0,133000000.0,1.8668050510292338,35
AGILENT TECHNOLOGIES INC,A,126554,2023-07-31,2023Q3,1672000000.0,111000000.0,118000000.0,214000000.0,1.920654911838791,35
AGILENT TECHNOLOGIES INC,A,126554,2023-10-31,2023Q4,1688000000.0,475000000.0,114000000.0,298000000.0,1.8414029084687766,35
APPLE INC,AAPL,001690,2016-03-31,2016Q1,50557000000.0,10516000000.0,2511000000.0,5948000000.0,2.3400584100508213,45
APPLE INC,AAPL,001690,2016-06-30,2016Q2,42358000000.0,7796000000.0,2560000000.0,8757000000.0,2.4150433456350116,45
APPLE INC,AAPL,001690,2016-09-30,2016Q3,46852000000.0,9014000000.0,2570000000.0,12734000000.0,2.5082924623193943,45
APPLE INC,AAPL,001690,2016-12-31,2016Q4,78351000000.0,17891000000.0,2871000000.0,3334000000.0,2.5012538711383034,45
APPLE INC,AAPL,001690,2017-03-31,2017Q1,52896000000.0,11029000000.0,2776000000.0,6309000000.0,2.4949806834623587,45
APPLE INC,AAPL,001690,2017-06-30,2017Q2,45408000000.0,8717000000.0,2937000000.0,8586000000.0,2.6065546535774966,45
APPLE INC,AAPL,001690,2017-09-30,2017Q3,52579000000.0,10714000000.0,2997000000.0,12451000000.0,2.799906003118309,45
APPLE INC,AAPL,001690,2017-12-31,2017Q4,88293000000.0,20065000000.0,3407000000.0,2810000000.0,2.9015470866411315,45
APPLE INC,AAPL,001690,2018-03-31,2018Q1,61137000000.0,13822000000.0,3378000000.0,7005000000.0,2.8964989990384464,45
APPLE INC,AAPL,001690,2018-06-30,2018Q2,53029000000.0,11519000000.0,3701000000.0,10272000000.0,3.0378428694464503,45
APPLE INC,AAPL,001690,2018-09-30,2018Q3,62900000000.0,14125000000.0,3750000000.0,13313000000.0,3.4133013523477094,45
